path,total_conversions,total_conversion_value,total_null
Affiliate Marketing > Content Marketing > YouTube > SMS Marketing > Bing Paid Search,0,0.0,1
Affiliate Marketing > Direct,0,0.0,2
Affiliate Marketing > Direct > SMS Marketing > Online Display,0,0.0,1
Affiliate Marketing > Email,2,881.47,7
Affiliate Marketing > Email > Content Marketing > Online Display,0,0.0,1
Affiliate Marketing > Email > Facebook,0,0.0,2
Affiliate Marketing > Email > Facebook > Pinterest,0,0.0,1
Affiliate Marketing > Email > LinkedIn,0,0.0,1
Affiliate Marketing > Email > LinkedIn > Online Display > Online Display,0,0.0,1
Affiliate Marketing > Email > LinkedIn > YouTube > Pinterest,0,0.0,1
Affiliate Marketing > Email > Online Display,0,0.0,2
Affiliate Marketing > Email > Organic Search > LinkedIn,0,0.0,1
Affiliate Marketing > Email > Pinterest,0,0.0,1
Affiliate Marketing > Email > Podcast Advertising,1,624.32,2
Affiliate Marketing > Email > Podcast Advertising > Affiliate Marketing > Online Display > Twitter > Online Display > Podcast Advertising,0,0.0,1
Affiliate Marketing > Email > Podcast Advertising > TikTok > Bing Paid Search,0,0.0,1
Affiliate Marketing > Email > SMS Marketing > LinkedIn > Twitter,0,0.0,1
Affiliate Marketing > Email > SMS Marketing > Online Display,0,0.0,1
Affiliate Marketing > Email > TikTok > LinkedIn > SMS Marketing,1,282.92,0
Affiliate Marketing > Email > Twitter > Online Display,0,0.0,1
Affiliate Marketing > Email > Twitter > Pinterest > Podcast Advertising > Content Marketing,0,0.0,1
Affiliate Marketing > Email > Twitter > SMS Marketing > LinkedIn > YouTube,0,0.0,1
Affiliate Marketing > Facebook,1,362.81,19
Affiliate Marketing > Facebook > Bing Paid Search,0,0.0,1
Affiliate Marketing > Facebook > Bing Paid Search > Pinterest,0,0.0,1
Affiliate Marketing > Facebook > Content Marketing > Online Display > Facebook,0,0.0,1
Affiliate Marketing > Facebook > Content Marketing > Podcast Advertising,0,0.0,1
Affiliate Marketing > Facebook > Email > Pinterest > Podcast Advertising > TikTok > Online Display,0,0.0,1
Affiliate Marketing > Facebook > Facebook,0,0.0,1
Affiliate Marketing > Facebook > Facebook > Online Display > Online Display > TikTok > Podcast Advertising > Facebook > Instagram,0,0.0,1
Affiliate Marketing > Facebook > Facebook > TikTok > Pinterest,0,0.0,1
Affiliate Marketing > Facebook > Facebook > YouTube > Online Display > Pinterest,0,0.0,1
Affiliate Marketing > Facebook > Instagram,1,269.05,1
Affiliate Marketing > Facebook > Instagram > Facebook > Online Display,0,0.0,1
Affiliate Marketing > Facebook > LinkedIn,0,0.0,3
Affiliate Marketing > Facebook > LinkedIn > Online Display > SMS Marketing,1,916.06,0
Affiliate Marketing > Facebook > LinkedIn > Snapchat,1,244.38,0
Affiliate Marketing > Facebook > Online Display,0,0.0,1
Affiliate Marketing > Facebook > Organic Search,0,0.0,1
Affiliate Marketing > Facebook > Pinterest,0,0.0,1
Affiliate Marketing > Facebook > Pinterest > LinkedIn,1,420.47,0
Affiliate Marketing > Facebook > Podcast Advertising,1,220.25,4
Affiliate Marketing > Facebook > Podcast Advertising > Facebook,0,0.0,2
Affiliate Marketing > Facebook > Podcast Advertising > SMS Marketing,0,0.0,1
Affiliate Marketing > Facebook > Twitter,1,47.75,4
Affiliate Marketing > Google Paid Search,0,0.0,2
Affiliate Marketing > Google Paid Search > LinkedIn,0,0.0,1
Affiliate Marketing > Google Paid Search > Online Display,0,0.0,1
Affiliate Marketing > Google Paid Search > Podcast Advertising,0,0.0,2
Affiliate Marketing > Google Paid Search > TikTok > Podcast Advertising,0,0.0,1
Affiliate Marketing > Influencer Marketing,0,0.0,2
Affiliate Marketing > Influencer Marketing > Referral Programs,0,0.0,1
Affiliate Marketing > Influencer Marketing > TikTok,0,0.0,1
Affiliate Marketing > Instagram,0,0.0,8
Affiliate Marketing > Instagram > Bing Paid Search,1,363.71,0
Affiliate Marketing > Instagram > Content Marketing,0,0.0,1
Affiliate Marketing > Instagram > Content Marketing > Organic Search,0,0.0,1
Affiliate Marketing > Instagram > Google Paid Search > TikTok,0,0.0,1
Affiliate Marketing > Instagram > LinkedIn > Instagram,0,0.0,1
Affiliate Marketing > Instagram > LinkedIn > Online Display,0,0.0,1
Affiliate Marketing > Instagram > LinkedIn > Online Display > Pinterest,0,0.0,1
Affiliate Marketing > Instagram > Online Display > Email > Online Display,0,0.0,1
Affiliate Marketing > Instagram > Pinterest,0,0.0,1
Affiliate Marketing > Instagram > Pinterest > LinkedIn > Online Display,0,0.0,1
Affiliate Marketing > Instagram > Podcast Advertising,0,0.0,2
Affiliate Marketing > Instagram > Podcast Advertising > Twitter,0,0.0,2
Affiliate Marketing > Instagram > SMS Marketing,0,0.0,1
Affiliate Marketing > Instagram > SMS Marketing > Online Display,0,0.0,1
Affiliate Marketing > Instagram > SMS Marketing > Podcast Advertising,0,0.0,1
Affiliate Marketing > Instagram > TikTok > LinkedIn > LinkedIn > LinkedIn,1,925.78,0
Affiliate Marketing > LinkedIn,1,617.72,35
Affiliate Marketing > LinkedIn > Affiliate Marketing,0,0.0,1
Affiliate Marketing > LinkedIn > Content Marketing,1,226.31,1
Affiliate Marketing > LinkedIn > Content Marketing > Facebook > Facebook,0,0.0,1
Affiliate Marketing > LinkedIn > Content Marketing > LinkedIn,0,0.0,1
Affiliate Marketing > LinkedIn > Email > Pinterest,0,0.0,1
Affiliate Marketing > LinkedIn > Facebook > Instagram,0,0.0,2
Affiliate Marketing > LinkedIn > Facebook > Organic Search,0,0.0,1
Affiliate Marketing > LinkedIn > Facebook > Pinterest,0,0.0,1
Affiliate Marketing > LinkedIn > Facebook > Podcast Advertising > LinkedIn,0,0.0,1
Affiliate Marketing > LinkedIn > Google Paid Search > Podcast Advertising,0,0.0,1
Affiliate Marketing > LinkedIn > Google Paid Search > SMS Marketing,0,0.0,1
Affiliate Marketing > LinkedIn > Instagram,0,0.0,1
Affiliate Marketing > LinkedIn > LinkedIn,0,0.0,4
Affiliate Marketing > LinkedIn > LinkedIn > Bing Paid Search,0,0.0,1
Affiliate Marketing > LinkedIn > LinkedIn > Content Marketing,0,0.0,1
Affiliate Marketing > LinkedIn > LinkedIn > LinkedIn,0,0.0,1
Affiliate Marketing > LinkedIn > LinkedIn > Online Display > Podcast Advertising > Pinterest,0,0.0,1
Affiliate Marketing > LinkedIn > LinkedIn > Podcast Advertising > Email > Podcast Advertising,0,0.0,1
Affiliate Marketing > LinkedIn > LinkedIn > Podcast Advertising > Online Display,0,0.0,1
Affiliate Marketing > LinkedIn > LinkedIn > TikTok,1,836.1,0
Affiliate Marketing > LinkedIn > Online Display,0,0.0,3
Affiliate Marketing > LinkedIn > Online Display > LinkedIn > Twitter,0,0.0,1
Affiliate Marketing > LinkedIn > Online Display > Pinterest,0,0.0,1
Affiliate Marketing > LinkedIn > Online Display > Pinterest > Organic Search > Facebook > Twitter,0,0.0,1
Affiliate Marketing > LinkedIn > Online Display > Pinterest > Podcast Advertising,0,0.0,1
Affiliate Marketing > LinkedIn > Online Display > Pinterest > Podcast Advertising > Podcast Advertising > Content Marketing,0,0.0,1
Affiliate Marketing > LinkedIn > Organic Search,0,0.0,1
Affiliate Marketing > LinkedIn > Pinterest,0,0.0,2
Affiliate Marketing > LinkedIn > Pinterest > Bing Paid Search,0,0.0,1
Affiliate Marketing > LinkedIn > Pinterest > Podcast Advertising,0,0.0,1
Affiliate Marketing > LinkedIn > Podcast Advertising,1,791.4,4
Affiliate Marketing > LinkedIn > Podcast Advertising > Content Marketing,0,0.0,2
Affiliate Marketing > LinkedIn > Podcast Advertising > Facebook,0,0.0,1
Affiliate Marketing > LinkedIn > Podcast Advertising > Facebook > SMS Marketing,0,0.0,1
Affiliate Marketing > LinkedIn > Podcast Advertising > Online Display,1,517.88,0
Affiliate Marketing > LinkedIn > Podcast Advertising > SMS Marketing,1,585.25,1
Affiliate Marketing > LinkedIn > Podcast Advertising > TikTok > Pinterest,0,0.0,1
Affiliate Marketing > LinkedIn > Referral Programs,0,0.0,1
Affiliate Marketing > LinkedIn > Referral Programs > Twitter,0,0.0,1
Affiliate Marketing > LinkedIn > SMS Marketing,0,0.0,1
Affiliate Marketing > LinkedIn > SMS Marketing > Content Marketing,0,0.0,1
Affiliate Marketing > LinkedIn > SMS Marketing > Facebook,0,0.0,1
Affiliate Marketing > LinkedIn > SMS Marketing > TikTok,1,791.78,0
Affiliate Marketing > LinkedIn > SMS Marketing > Twitter,1,717.8,0
Affiliate Marketing > LinkedIn > Twitter,0,0.0,2
Affiliate Marketing > LinkedIn > Twitter > Pinterest,0,0.0,1
Affiliate Marketing > LinkedIn > Twitter > Podcast Advertising,0,0.0,1
Affiliate Marketing > LinkedIn > Twitter > TikTok,0,0.0,1
Affiliate Marketing > LinkedIn > YouTube > Online Display,0,0.0,1
Affiliate Marketing > LinkedIn > YouTube > Pinterest,0,0.0,1
Affiliate Marketing > Online Display,5,1276.55,40
Affiliate Marketing > Online Display > Affiliate Marketing,0,0.0,1
Affiliate Marketing > Online Display > Bing Paid Search > Twitter > Online Display,0,0.0,1
Affiliate Marketing > Online Display > Content Marketing > Pinterest,0,0.0,2
Affiliate Marketing > Online Display > Content Marketing > SMS Marketing > LinkedIn > Twitter,0,0.0,1
Affiliate Marketing > Online Display > Content Marketing > Twitter > Referral Programs > Pinterest > Pinterest,0,0.0,1
Affiliate Marketing > Online Display > Content Marketing > YouTube,0,0.0,1
Affiliate Marketing > Online Display > Email,0,0.0,5
Affiliate Marketing > Online Display > Email > Podcast Advertising,0,0.0,1
Affiliate Marketing > Online Display > Facebook,1,654.17,1
Affiliate Marketing > Online Display > Facebook > LinkedIn,0,0.0,1
Affiliate Marketing > Online Display > Facebook > Podcast Advertising > Pinterest,0,0.0,1
Affiliate Marketing > Online Display > Google Paid Search,1,663.73,0
Affiliate Marketing > Online Display > Influencer Marketing > Pinterest > LinkedIn > Twitter,0,0.0,1
Affiliate Marketing > Online Display > Instagram > Direct,0,0.0,1
Affiliate Marketing > Online Display > Instagram > Pinterest > Online Display,0,0.0,1
Affiliate Marketing > Online Display > LinkedIn,0,0.0,6
Affiliate Marketing > Online Display > LinkedIn > LinkedIn > Facebook,0,0.0,1
Affiliate Marketing > Online Display > LinkedIn > Online Display > Pinterest,0,0.0,1
Affiliate Marketing > Online Display > LinkedIn > Pinterest > Podcast Advertising > Pinterest,0,0.0,1
Affiliate Marketing > Online Display > LinkedIn > Podcast Advertising > Online Display > Twitter > Facebook,0,0.0,1
Affiliate Marketing > Online Display > LinkedIn > Podcast Advertising > Organic Search,0,0.0,1
Affiliate Marketing > Online Display > LinkedIn > Referral Programs > Online Display > Twitter,0,0.0,1
Affiliate Marketing > Online Display > LinkedIn > SMS Marketing,0,0.0,1
Affiliate Marketing > Online Display > LinkedIn > TikTok,0,0.0,1
Affiliate Marketing > Online Display > Online Display,0,0.0,3
Affiliate Marketing > Online Display > Online Display > Pinterest > LinkedIn,0,0.0,1
Affiliate Marketing > Online Display > Online Display > Podcast Advertising > Twitter,0,0.0,1
Affiliate Marketing > Online Display > Online Display > SMS Marketing,0,0.0,1
Affiliate Marketing > Online Display > Online Display > Snapchat > TikTok,0,0.0,1
Affiliate Marketing > Online Display > Online Display > TikTok > Content Marketing > Online Display,0,0.0,1
Affiliate Marketing > Online Display > Organic Search,0,0.0,1
Affiliate Marketing > Online Display > Pinterest,0,0.0,2
Affiliate Marketing > Online Display > Pinterest > LinkedIn,0,0.0,1
Affiliate Marketing > Online Display > Pinterest > Pinterest > Podcast Advertising,0,0.0,1
Affiliate Marketing > Online Display > Pinterest > Podcast Advertising,0,0.0,1
Affiliate Marketing > Online Display > Pinterest > Podcast Advertising > SMS Marketing,0,0.0,1
Affiliate Marketing > Online Display > Pinterest > Twitter,0,0.0,1
Affiliate Marketing > Online Display > Podcast Advertising,0,0.0,3
Affiliate Marketing > Online Display > Podcast Advertising > Facebook,0,0.0,1
Affiliate Marketing > Online Display > Podcast Advertising > Instagram > Online Display > Instagram,0,0.0,1
Affiliate Marketing > Online Display > Podcast Advertising > LinkedIn > Facebook,0,0.0,1
Affiliate Marketing > Online Display > Podcast Advertising > Online Display,0,0.0,2
Affiliate Marketing > Online Display > Podcast Advertising > Pinterest,0,0.0,1
Affiliate Marketing > Online Display > Podcast Advertising > Podcast Advertising,0,0.0,1
Affiliate Marketing > Online Display > Podcast Advertising > Snapchat > Online Display,0,0.0,1
Affiliate Marketing > Online Display > Podcast Advertising > TikTok,0,0.0,1
Affiliate Marketing > Online Display > Podcast Advertising > Twitter,0,0.0,1
Affiliate Marketing > Online Display > SMS Marketing > Online Display > LinkedIn,0,0.0,1
Affiliate Marketing > Online Display > SMS Marketing > Twitter > Podcast Advertising > Organic Search,0,0.0,1
Affiliate Marketing > Online Display > Snapchat,0,0.0,1
Affiliate Marketing > Online Display > TikTok,0,0.0,2
Affiliate Marketing > Online Display > TikTok > LinkedIn,0,0.0,1
Affiliate Marketing > Online Display > TikTok > Organic Search > Instagram > Facebook > Content Marketing,0,0.0,1
Affiliate Marketing > Online Display > Twitter,0,0.0,1
Affiliate Marketing > Online Display > Twitter > Google Paid Search > Content Marketing,0,0.0,1
Affiliate Marketing > Online Display > Twitter > LinkedIn,0,0.0,1
Affiliate Marketing > Online Display > Twitter > SMS Marketing > Facebook,0,0.0,1
Affiliate Marketing > Online Display > Twitter > Snapchat,0,0.0,1
Affiliate Marketing > Online Display > YouTube > Pinterest,0,0.0,1
Affiliate Marketing > Organic Search,0,0.0,9
Affiliate Marketing > Organic Search > Email > Podcast Advertising,0,0.0,1
Affiliate Marketing > Organic Search > Instagram > LinkedIn,0,0.0,1
Affiliate Marketing > Organic Search > LinkedIn > Podcast Advertising > Twitter,0,0.0,1
Affiliate Marketing > Organic Search > Online Display,0,0.0,1
Affiliate Marketing > Organic Search > Podcast Advertising > Google Paid Search,0,0.0,1
Affiliate Marketing > Organic Search > SMS Marketing > Referral Programs > Organic Search > Podcast Advertising > Email,0,0.0,1
Affiliate Marketing > Organic Search > TikTok > Twitter > Pinterest,0,0.0,1
Affiliate Marketing > Organic Search > Twitter > Twitter,0,0.0,1
Affiliate Marketing > Pinterest,3,2530.3199999999997,32
Affiliate Marketing > Pinterest > Bing Paid Search,0,0.0,1
Affiliate Marketing > Pinterest > Bing Paid Search > Facebook > Facebook,0,0.0,1
Affiliate Marketing > Pinterest > Bing Paid Search > Podcast Advertising > Facebook > TikTok,0,0.0,1
Affiliate Marketing > Pinterest > Content Marketing,0,0.0,1
Affiliate Marketing > Pinterest > Content Marketing > Twitter,0,0.0,1
Affiliate Marketing > Pinterest > Direct > Podcast Advertising > LinkedIn > TikTok > Pinterest,0,0.0,1
Affiliate Marketing > Pinterest > Email > Direct,0,0.0,1
Affiliate Marketing > Pinterest > Facebook,0,0.0,3
Affiliate Marketing > Pinterest > Facebook > Content Marketing > Bing Paid Search > Online Display,0,0.0,1
Affiliate Marketing > Pinterest > Facebook > LinkedIn > LinkedIn > TikTok,0,0.0,1
Affiliate Marketing > Pinterest > Facebook > LinkedIn > Online Display,1,743.76,0
Affiliate Marketing > Pinterest > Facebook > Online Display,0,0.0,1
Affiliate Marketing > Pinterest > Facebook > Twitter,0,0.0,1
Affiliate Marketing > Pinterest > Instagram,0,0.0,1
Affiliate Marketing > Pinterest > LinkedIn,1,196.06,1
Affiliate Marketing > Pinterest > LinkedIn > Online Display,0,0.0,1
Affiliate Marketing > Pinterest > LinkedIn > Online Display > YouTube > Podcast Advertising,0,0.0,1
Affiliate Marketing > Pinterest > LinkedIn > Pinterest,0,0.0,1
Affiliate Marketing > Pinterest > LinkedIn > Podcast Advertising,0,0.0,1
Affiliate Marketing > Pinterest > LinkedIn > SMS Marketing,1,590.32,0
Affiliate Marketing > Pinterest > Online Display,0,0.0,7
Affiliate Marketing > Pinterest > Online Display > Email > Pinterest > LinkedIn,0,0.0,1
Affiliate Marketing > Pinterest > Online Display > Facebook,0,0.0,1
Affiliate Marketing > Pinterest > Online Display > Facebook > Podcast Advertising > Twitter,0,0.0,1
Affiliate Marketing > Pinterest > Online Display > Organic Search > Organic Search > LinkedIn,0,0.0,1
Affiliate Marketing > Pinterest > Online Display > Twitter > SMS Marketing,0,0.0,1
Affiliate Marketing > Pinterest > Organic Search > Podcast Advertising > Podcast Advertising > Podcast Advertising > Affiliate Marketing > Pinterest,0,0.0,1
Affiliate Marketing > Pinterest > Organic Search > SMS Marketing,0,0.0,1
Affiliate Marketing > Pinterest > Pinterest,0,0.0,2
Affiliate Marketing > Pinterest > Pinterest > Pinterest,0,0.0,1
Affiliate Marketing > Pinterest > Pinterest > Pinterest > Podcast Advertising,0,0.0,1
Affiliate Marketing > Pinterest > Pinterest > SMS Marketing,0,0.0,1
Affiliate Marketing > Pinterest > Pinterest > Twitter > Online Display > Podcast Advertising > Snapchat,0,0.0,1
Affiliate Marketing > Pinterest > Podcast Advertising,2,580.19,1
Affiliate Marketing > Pinterest > Podcast Advertising > Content Marketing,0,0.0,1
Affiliate Marketing > Pinterest > Podcast Advertising > LinkedIn,0,0.0,1
Affiliate Marketing > Pinterest > Podcast Advertising > LinkedIn > Bing Paid Search,0,0.0,1
Affiliate Marketing > Pinterest > Podcast Advertising > Pinterest > Instagram,0,0.0,1
Affiliate Marketing > Pinterest > Podcast Advertising > Podcast Advertising,0,0.0,1
Affiliate Marketing > Pinterest > Podcast Advertising > Twitter,1,157.08,1
Affiliate Marketing > Pinterest > Podcast Advertising > Twitter > Facebook,0,0.0,1
Affiliate Marketing > Pinterest > SMS Marketing,0,0.0,1
Affiliate Marketing > Pinterest > SMS Marketing > Facebook,0,0.0,1
Affiliate Marketing > Pinterest > SMS Marketing > Podcast Advertising > Online Display,0,0.0,1
Affiliate Marketing > Pinterest > SMS Marketing > Twitter,0,0.0,1
Affiliate Marketing > Pinterest > SMS Marketing > Twitter > Facebook,0,0.0,1
Affiliate Marketing > Pinterest > Snapchat > Online Display,0,0.0,1
Affiliate Marketing > Pinterest > TikTok,0,0.0,1
Affiliate Marketing > Pinterest > TikTok > Online Display,0,0.0,1
Affiliate Marketing > Pinterest > TikTok > Pinterest,1,790.56,0
Affiliate Marketing > Pinterest > Twitter,0,0.0,3
Affiliate Marketing > Pinterest > Twitter > Pinterest > Content Marketing,0,0.0,1
Affiliate Marketing > Pinterest > Twitter > Podcast Advertising,0,0.0,1
Affiliate Marketing > Pinterest > Twitter > Podcast Advertising > Facebook > Podcast Advertising,0,0.0,1
Affiliate Marketing > Pinterest > Twitter > Twitter > Snapchat > SMS Marketing,0,0.0,1
Affiliate Marketing > Pinterest > YouTube,0,0.0,1
Affiliate Marketing > Pinterest > YouTube > Pinterest > LinkedIn,0,0.0,1
Affiliate Marketing > Podcast Advertising,3,790.8199999999999,44
Affiliate Marketing > Podcast Advertising > Affiliate Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > Bing Paid Search,0,0.0,1
Affiliate Marketing > Podcast Advertising > Bing Paid Search > Direct,0,0.0,1
Affiliate Marketing > Podcast Advertising > Bing Paid Search > LinkedIn,0,0.0,1
Affiliate Marketing > Podcast Advertising > Bing Paid Search > Organic Search,0,0.0,1
Affiliate Marketing > Podcast Advertising > Bing Paid Search > Pinterest,0,0.0,1
Affiliate Marketing > Podcast Advertising > Content Marketing > Content Marketing,0,0.0,2
Affiliate Marketing > Podcast Advertising > Content Marketing > SMS Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > Email,1,556.36,2
Affiliate Marketing > Podcast Advertising > Facebook,0,0.0,4
Affiliate Marketing > Podcast Advertising > Facebook > Podcast Advertising,0,0.0,1
Affiliate Marketing > Podcast Advertising > Facebook > TikTok,0,0.0,1
Affiliate Marketing > Podcast Advertising > Facebook > YouTube,0,0.0,1
Affiliate Marketing > Podcast Advertising > Google Paid Search,0,0.0,1
Affiliate Marketing > Podcast Advertising > Instagram,0,0.0,3
Affiliate Marketing > Podcast Advertising > Instagram > Online Display > LinkedIn > Online Display > LinkedIn > Online Display,0,0.0,1
Affiliate Marketing > Podcast Advertising > LinkedIn,0,0.0,2
Affiliate Marketing > Podcast Advertising > LinkedIn > Content Marketing > Google Paid Search > SMS Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > LinkedIn > Facebook > Podcast Advertising,0,0.0,1
Affiliate Marketing > Podcast Advertising > LinkedIn > Influencer Marketing > Pinterest,0,0.0,1
Affiliate Marketing > Podcast Advertising > LinkedIn > Pinterest > Content Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > LinkedIn > Podcast Advertising,0,0.0,1
Affiliate Marketing > Podcast Advertising > LinkedIn > SMS Marketing > LinkedIn,0,0.0,1
Affiliate Marketing > Podcast Advertising > LinkedIn > SMS Marketing > Twitter,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display,0,0.0,3
Affiliate Marketing > Podcast Advertising > Online Display > Email > Affiliate Marketing > Email > Facebook,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > Facebook > Pinterest > Online Display,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > Instagram > LinkedIn,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > Online Display > Facebook,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > Organic Search,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > Organic Search > Pinterest > Content Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > Podcast Advertising > Facebook,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > Podcast Advertising > Facebook > SMS Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > TikTok > Podcast Advertising > YouTube,0,0.0,1
Affiliate Marketing > Podcast Advertising > Online Display > Twitter > SMS Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > Organic Search,0,0.0,1
Affiliate Marketing > Podcast Advertising > Organic Search > Online Display > Affiliate Marketing > SMS Marketing > Content Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > Organic Search > YouTube > TikTok > TikTok,0,0.0,1
Affiliate Marketing > Podcast Advertising > Pinterest,0,0.0,6
Affiliate Marketing > Podcast Advertising > Pinterest > Facebook > LinkedIn > Podcast Advertising > Podcast Advertising,0,0.0,1
Affiliate Marketing > Podcast Advertising > Pinterest > Online Display,0,0.0,1
Affiliate Marketing > Podcast Advertising > Pinterest > Online Display > Online Display > Twitter,0,0.0,1
Affiliate Marketing > Podcast Advertising > Pinterest > SMS Marketing > Podcast Advertising,0,0.0,1
Affiliate Marketing > Podcast Advertising > Podcast Advertising,0,0.0,8
Affiliate Marketing > Podcast Advertising > Podcast Advertising > Content Marketing > Podcast Advertising > Content Marketing,0,0.0,1
Affiliate Marketing > Podcast Advertising > Podcast Advertising > LinkedIn,0,0.0,1
Affiliate Marketing > Podcast Advertising > Podcast Advertising > LinkedIn > Online Display > Snapchat,0,0.0,1
Affiliate Marketing > Podcast Advertising > Podcast Advertising > Organic Search,0,0.0,1
Affiliate Marketing > Podcast Advertising > Podcast Advertising > SMS Marketing,1,416.05,1
Affiliate Marketing > Podcast Advertising > Podcast Advertising > YouTube > Twitter,0,0.0,1
Affiliate Marketing > Podcast Advertising > Referral Programs,0,0.0,1
